YYMMDD,TIME,LOCATION,LAT,LON,DEPTH,MAG,EVALMODE
19980419,153235.72,Uithuizen,53.425,6.682,3.0,1.6,manual
19980428,020225.27,Veendam,53.107,6.865,3.0,0.4,manual
19980430,010841.72,Scharmer,53.197,6.707,3.0,0.9,manual
19980518,220342.46,Uithuizermeeden,53.404,6.732,3.0,1.3,manual
19980530,094315.14,Froombosch,53.203,6.777,3.0,0.9,manual
19980714,121202.23,Roswinkel,52.833,7.053,2.0,3.3,manual
19980814,192516.89,Froombosch,53.192,6.803,3.0,1.1,manual
19980824,042858.00,Wirdum,53.298,6.81,3.0,2.4,manual
19980905,203611.24,Emmen,52.742,6.875,3.0,1.9,manual
19981004,032832.97,Zeerijp,53.353,6.748,3.0,1.0,manual
19981020,213205.00,Deurze,52.974,6.607,3.0,0.8,manual
19981101,174829.50,Eleveld,52.955,6.572,3.0,1.3,manual
19981212,075139.52,Zandeweer,53.392,6.698,3.0,2.0,manual
19981226,234802.19,Schildwolde,53.215,6.83,3.0,1.6,manual
19990111,093541.53,Roswinkel,52.837,7.057,2.0,1.1,manual
19990113,193637.03,Het Zandt,53.359,6.777,3.0,2.1,manual
19990131,045300.59,Steendam,53.255,6.825,3.0,0.4,manual
19990305,190040.23,Kiel-Windeweer,53.101,6.792,3.0,1.0,manual
19990306,055639.96,Wirdum,53.325,6.778,3.0,1.6,manual
19990312,190642.97,Roswinkel,52.833,7.051,2.0,1.3,manual
19990317,231425.46,Roswinkel,52.832,7.052,2.0,1.5,manual
19990421,105956.44,Appingedam,53.312,6.84,3.0,1.4,manual
19990422,225802.90,Ureterp,53.111,6.152,3.0,1.0,manual
19990506,181356.32,Roswinkel,52.836,7.055,2.0,1.4,manual
19990508,204018.93,Stedum,53.325,6.7,3.0,1.6,manual
19990514,183020.73,Roswinkel,52.834,7.052,2.0,1.7,manual
19990515,192830.36,Roswinkel,52.834,7.052,2.0,1.4,manual
19990521,000938.86,Sappemeer,53.164,6.815,3.0,0.7,manual
19990607,202031.38,Steenbergen,53.097,6.402,3.0,1.1,manual
19990707,090311.36,Grolloo,52.95,6.627,3.0,1.3,manual
19990810,232418.31,Startenhuizen,53.382,6.727,3.0,1.4,manual
19990811,011800.96,Westeremden,53.346,6.702,3.0,0.7,manual
19990907,171623.54,Nieuw Annerveen,53.068,6.795,3.0,1.5,manual
19990907,194751.09,Eexterveen,53.057,6.813,3.0,0.5,manual
19991018,185609.54,Zuidlaren,53.078,6.718,3.0,0.4,manual
19991018,185755.40,Schipborg,53.06,6.678,3.0,0.3,manual
19991022,131916.77,Ekehaar,52.941,6.592,3.0,1.7,manual
19991208,053928.47,Sappemeer,53.179,6.802,3.0,0.3,manual
19991209,093800.05,Schildwolde,53.246,6.803,3.0,1.1,manual
19991209,095212.96,Froombosch,53.183,6.798,3.0,1.0,manual
19991210,061332.01,Sappemeer,53.175,6.792,3.0,1.4,manual
19991220,122929.69,Westeremden,53.352,6.71,3.0,1.5,manual
19991221,045237.74,Froombosch,53.19,6.765,3.0,1.0,manual
19991224,235241.12,Farmsum,53.32,6.947,3.0,1.8,manual
19991231,110055.33,Roswinkel,52.835,7.048,2.0,2.8,manual
20000107,141906.76,Roswinkel,52.834,7.043,2.0,1.1,manual
20000110,041807.46,Schipborg,53.077,6.655,3.0,0.6,manual
20000212,194810.61,Appingedam,53.321,6.822,3.5,1.7,manual
20000319,161336.08,Westeremden,53.343,6.698,3.0,1.6,manual
20000327,102322.03,Roswinkel,52.835,7.045,2.0,0.8,manual
20000401,031351.38,Dalen,52.685,6.75,3.0,1.3,manual
20000408,110729.68,Groningen,53.205,6.632,3.0,1.2,manual
20000408,211317.80,Losdorp,53.37,6.845,3.0,1.1,manual
20000414,230747.79,Garrelsweer,53.308,6.772,3.0,1.2,manual
20000516,011114.73,Eppenhuizen,53.38,6.71,3.0,1.9,manual
20000609,170347.28,Wildervank,53.087,6.813,3.0,1.1,manual
20000611,041220.13,Zeerijp,53.348,6.763,3.0,2.0,manual
20000612,154823.01,Loppersum,53.34,6.742,3.0,2.5,manual
20000615,014224.95,Steendam,53.28,6.847,3.0,2.5,manual
20000706,230956.72,Zeerijp,53.34,6.752,3.0,1.2,manual
20000710,150549.12,Vries,53.064,6.575,3.0,1.0,manual
20000713,084152.43,Vries,53.079,6.565,3.0,1.1,manual
20000716,013412.00,Het Zandt,53.367,6.782,3.0,1.5,manual
20000922,170516.77,Wildervank,53.076,6.82,3.0,1.0,manual
20000922,205206.40,Nieuw Annerveen,53.082,6.793,3.0,2.2,manual
20000923,034747.43,Nieuw Annerveen,53.081,6.788,2.7,1.0,manual
20001025,181034.79,Roswinkel,52.832,7.052,2.3,3.2,manual
20001112,021636.27,Deurze,52.977,6.608,3.0,0.3,manual
20001129,160648.39,Laar (Duitsland),52.626,6.742,3.0,1.6,manual
20001223,052006.17,Borgercompagnie,53.108,6.812,3.0,0.4,manual
20001226,163357.64,Meedhuizen,53.294,6.91,3.0,1.4,manual
20010226,113907.31,Wildervank,53.072,6.822,3.0,0.8,manual
20010318,041420.68,Lageland,53.243,6.692,3.0,1.6,manual
20010428,100008.29,Geelbroek,52.948,6.567,3.0,1.5,manual
20010428,100055.51,Eleveld,52.959,6.575,3.0,1.1,manual
20010428,230015.88,Roswinkel,52.833,7.053,2.0,2.4,manual
20010517,074815.47,Haren,53.173,6.612,3.0,1.4,manual
20010610,033533.20,Annen,53.049,6.753,3.0,0.5,manual
20010619,064955.57,Wildervank,53.079,6.82,3.0,1.0,manual
20010621,035049.05,Garrelsweer,53.295,6.8,3.0,1.7,manual
20010807,170901.50,Veendam,53.097,6.845,3.0,0.3,manual
20010909,065812.52,Bergen,52.651,4.713,2.0,3.5,manual
20010910,043015.43,Bergen,52.653,4.712,2.0,3.2,manual
20011010,064109.36,Schoorl,52.682,4.648,2.9,2.7,manual
20011010,140643.35,Slochteren,53.239,6.763,3.0,1.0,manual
20011010,140657.24,Slochteren,53.24,6.763,3.0,0.8,manual
20011112,143315.37,Waddenzee (nabij Dornum),53.694,7.377,3.0,1.4,manual
20011204,190831.06,Froombosch,53.204,6.785,3.0,0.2,manual
20011204,190837.83,Froombosch,53.204,6.785,3.0,0.0,manual
20011204,223337.96,Froombosch,53.21,6.743,3.0,1.0,manual
20011211,151717.62,Slochteren,53.217,6.788,3.0,0.7,manual
20011220,012542.98,Wildervank,53.081,6.838,3.0,0.5,manual
20011225,232811.71,Uithuizen,53.397,6.682,3.0,1.1,manual
20011226,123653.07,Eexterveen,53.056,6.805,3.0,-0.2,manual
20020205,103039.74,Stedum,53.319,6.717,3.0,2.2,manual
20020214,170104.74,Roswinkel,52.831,7.035,2.0,2.1,manual
20020227,035214.03,Oosterwijtwerd,53.337,6.827,3.0,1.1,manual
20020317,021627.90,Donderen,53.093,6.543,3.0,0.4,manual
20020414,011144.49,Nieuw Annerveen,53.072,6.787,3.0,1.7,manual
20020510,103348.95,Bierum,53.378,6.857,3.0,1.7,manual
20020511,100723.22,Ekehaar,52.943,6.58,3.0,1.5,manual
20020522,133813.04,Eleveld,52.956,6.585,3.0,1.0,manual
20020628,030647.38,Smilde,52.968,6.45,3.0,1.8,manual
20020718,053116.83,Froombosch,53.188,6.783,3.0,1.6,manual
20020727,150108.63,Geelbroek,52.947,6.565,3.0,1.6,manual
20020805,192810.16,Gasteren,53.055,6.657,3.0,0.9,manual
20020829,211322.74,Luddeweer,53.247,6.747,3.0,0.0,manual
20020905,000021.45,Beerze,52.508,6.563,3.0,0.9,manual
20020906,060705.50,Borgercompagnie,53.112,6.842,3.0,0.6,manual
20020922,071333.43,Schipborg,53.056,6.68,3.0,0.6,manual
20020922,073013.81,Taarlo,53.035,6.638,3.0,0.5,manual
20021012,023213.63,Borgercompagnie,53.106,6.815,3.0,0.9,manual
20021014,234522.51,Roswinkel,52.834,7.045,2.0,0.9,manual
20021019,180339.43,Nieuw Annerveen,53.068,6.768,1.8,1.3,manual
20021214,001324.62,Dalerveen,52.676,6.832,3.0,1.4,manual
20021216,122339.09,Zuidlaren,53.092,6.718,3.0,1.4,manual
20021217,002318.74,Tjuchem,53.291,6.86,3.0,0.9,manual
20021218,203109.15,Zuidbroek,53.175,6.847,3.0,0.8,manual
20021224,025722.58,Roswinkel,52.833,7.042,2.0,1.4,manual
20030101,191615.31,Loppersum,53.337,6.743,3.0,1.0,manual
20030113,024545.50,Ravenswoud,52.971,6.413,3.0,1.7,manual
20030118,181243.32,Ten Post,53.287,6.77,3.0,1.0,manual
20030123,074616.66,Garrelsweer,53.307,6.752,3.0,1.6,manual
20030130,012730.24,Leermens,53.342,6.793,3.0,1.5,manual
20030131,152047.78,Slochteren,53.232,6.782,3.0,0.3,manual
20030202,093223.69,Ekehaar,52.95,6.588,3.0,2.0,manual
20030206,192524.91,Overschild,53.259,6.768,3.0,0.3,manual
20030211,192949.56,Zeerijp,53.352,6.773,3.0,1.3,manual
20030212,062220.02,Hellum,53.262,6.812,3.0,0.8,manual
20030214,065424.14,Boelenslaan,53.146,6.122,3.0,1.8,manual
20030228,215418.19,Loppersum,53.355,6.73,3.0,0.7,manual
20030303,205121.89,Middelstum,53.36,6.662,3.0,2.2,manual
20030306,201518.67,Kiel-Windeweer,53.141,6.753,3.0,0.9,manual
20030309,053126.70,Kantens,53.372,6.64,3.0,1.1,manual
20030323,160003.10,Uithuizermeeden,53.457,6.783,3.0,1.5,manual
20030329,210901.44,Lageland,53.237,6.682,3.0,0.4,manual
20030401,002552.09,Krewerd,53.364,6.852,3.0,0.3,manual
20030402,201948.74,Westeremden,53.34,6.718,3.0,1.9,manual
20030405,164948.33,Groningen,53.209,6.63,3.0,0.3,manual
20030406,000750.70,Overschild,53.272,6.795,3.0,0.1,manual
20030406,005727.90,Froombosch,53.205,6.75,3.0,1.0,manual
20030406,230204.37,Froombosch,53.206,6.763,3.0,0.7,manual
20030416,162042.53,Overschild,53.281,6.775,3.0,0.7,manual
20030418,235955.00,Slochteren,53.238,6.753,3.0,0.0,manual
20030420,001939.19,Overschild,53.246,6.75,3.0,0.1,manual
20030428,215611.33,Woltersum,53.283,6.727,3.0,1.0,manual
20030429,025504.92,Woltersum,53.284,6.73,3.0,1.3,manual
20030514,205215.91,Siddeburen,53.254,6.865,3.0,0.8,manual
20030514,222346.52,Hellum,53.257,6.847,3.0,0.8,manual
20030521,045709.24,Annen,53.072,6.765,3.0,1.1,manual
20030523,025950.86,Wildervank,53.084,6.823,3.0,0.6,manual
20030531,231225.73,Siddeburen,53.247,6.875,3.0,0.8,manual
20030603,161538.91,Westeremden,53.337,6.683,3.0,1.5,manual
20030606,142716.47,Harkstede,53.225,6.682,3.0,0.7,manual
20030608,053047.24,Froombosch,53.192,6.788,3.0,1.0,manual
20030608,081416.55,Woltersum,53.271,6.737,3.0,1.5,manual
20030616,004417.12,Ravenswoud,52.963,6.407,2.6,2.3,manual
20030805,184508.49,Assen,52.975,6.558,3.0,1.1,manual
20030807,082421.12,Zeerijp,53.349,6.758,3.0,1.7,manual
20030807,105639.85,Zeerijp,53.345,6.748,3.0,1.3,manual
20030820,084614.99,Borgercompagnie,53.106,6.815,3.0,0.5,manual
20030825,042455.00,Kiel-Windeweer,53.108,6.792,3.0,0.7,manual
20030825,100535.89,Hoogezand,53.108,6.795,3.0,0.9,manual
20030922,175011.50,Uithuizen,53.395,6.688,3.0,2.4,manual
20030927,135754.15,Westeremden,53.348,6.697,3.0,2.7,manual
20031011,114408.34,Roswinkel,52.835,7.055,2.0,1.6,manual
20031024,015241.16,Garrelsweer,53.295,6.792,3.0,3.0,manual
20031026,091700.14,Garrelsweer,53.304,6.788,3.0,1.2,manual
20031029,143009.26,Froombosch,53.192,6.783,3.0,1.0,manual
20031110,002238.03,Stedum,53.325,6.69,3.0,3.0,manual
20031110,024055.01,Westeremden,53.349,6.71,3.0,1.4,manual
20031116,200411.48,Westeremden,53.344,6.702,3.0,2.7,manual
20031226,100958.93,Wirdum,53.32,6.802,3.0,1.4,manual
20031226,170510.76,Oud Annerveen,53.084,6.755,3.0,-0.6,manual
20031228,042918.29,Oud Annerveen,53.08,6.762,3.0,-0.3,manual
20031229,130959.31,Delfzijl,53.343,6.938,3.0,1.5,manual
20040112,010547.91,Kolham,53.189,6.745,3.0,1.6,manual
20040124,135344.54,Woltersum,53.271,6.72,3.0,1.0,manual
20040130,114740.99,Appingedam,53.314,6.868,3.0,1.2,manual
20040307,071830.45,Veendam,53.103,6.845,3.0,0.2,manual
20040308,014116.41,Meedhuizen,53.292,6.895,3.0,0.4,manual
20040316,234941.24,Veendam,53.09,6.88,3.0,1.0,manual
20040321,170544.58,Wagenborgen,53.255,6.918,3.0,1.4,manual
20040326,023245.52,Siddeburen,53.273,6.862,3.0,0.5,manual
20040415,045023.62,Eexterzandvoort,53.041,6.8,3.0,1.0,manual
20040430,221243.89,Scharmer,53.23,6.712,3.0,0.5,manual
20040524,050313.44,Wetsinge,53.31,6.525,3.0,1.4,manual
20040529,210642.27,Winsum,53.308,6.508,3.0,0.8,manual
20040531,005919.96,Winsum,53.313,6.518,3.0,0.3,manual
20040610,011326.72,Zandeweer,53.391,6.663,3.0,2.1,manual
20040621,233202.76,Geelbroek,52.944,6.568,3.0,2.8,manual
20040727,224945.94,Appingedam,53.343,6.875,3.0,1.2,manual
20040821,010632.82,Sappemeer,53.163,6.793,3.0,1.8,manual
20040822,025601.13,Ekehaar,52.946,6.585,3.0,1.0,manual
20040906,203120.28,Roswinkel,52.834,7.048,2.0,1.0,manual
20040910,015644.91,Schipborg,53.064,6.67,3.0,0.4,manual
20040918,033312.38,Uithuizermeeden,53.416,6.703,3.0,1.2,manual
20040922,124433.00,Winneweer,53.311,6.743,3.0,1.5,manual
20041008,132342.72,Wildervank,53.076,6.833,2.5,1.3,manual
20041030,114052.88,Het Zandt,53.356,6.778,3.0,1.4,manual
20041031,172721.88,Marwijksoord,52.952,6.633,3.0,0.9,manual
20041113,121557.32,Overschild,53.291,6.802,3.0,1.2,manual
20041123,221310.36,Borgercompagnie,53.116,6.82,3.0,0.3,manual
20041124,181857.95,Ten Post,53.289,6.753,3.0,1.9,manual
20041125,142554.43,Froombosch,53.194,6.772,3.0,0.6,manual
20041126,065801.52,Loppersum,53.314,6.737,3.0,1.6,manual
20041216,211430.20,Harkstede,53.231,6.652,3.0,0.8,manual
20050109,235938.53,Wirdum,53.323,6.797,3.0,1.7,manual
20050117,000055.58,Appingedam,53.317,6.808,3.0,1.1,manual
20050130,023134.04,Ten Boer,53.277,6.692,3.0,1.0,manual
20050208,132033.86,Middelstum,53.316,6.638,3.0,2.3,manual
20050215,192111.01,Ekehaar,52.955,6.605,3.0,1.0,manual
20050216,104617.86,Roodeschool,53.404,6.793,3.0,1.3,manual
20050218,112629.87,Zuidlaren,53.081,6.673,3.0,0.6,manual
20050218,125546.58,Loppersum,53.34,6.735,3.0,1.3,manual
20050218,184925.65,Woudbloem,53.231,6.75,3.0,0.5,manual
20050218,220552.17,Lageland,53.239,6.727,3.0,1.6,manual
20050220,060324.65,Sappemeer,53.176,6.795,3.0,0.0,manual
20050225,034609.86,Oosterwijtwerd,53.336,6.812,3.0,1.6,manual
20050301,163159.41,Delfzijl,53.326,6.922,3.0,1.2,manual
20050308,230058.53,Wagenborgen,53.261,6.915,3.0,0.9,manual
20050310,020439.78,Oosterwijtwerd,53.342,6.81,3.0,2.0,manual
20050321,105833.93,Overschild,53.257,6.767,3.0,0.9,manual
20050321,232119.98,Buren,53.457,5.85,3.0,1.8,manual
20050402,232108.74,Overschild,53.27,6.798,3.0,1.2,manual
20050418,191116.59,Schildwolde,53.264,6.803,3.0,1.0,manual
20050421,204921.64,Tjuchem,53.291,6.885,3.0,0.9,manual
20050422,001449.67,Appingedam,53.334,6.858,3.0,0.8,manual
20050430,192802.72,Huizinge,53.359,6.7,3.0,1.0,manual
20050517,085014.19,Siddeburen,53.232,6.893,3.0,1.0,manual
20050525,213346.22,Noordbroek,53.194,6.85,3.0,1.1,manual
20050528,195757.64,Morra,53.374,6.088,3.0,1.4,manual
20050530,153645.87,Westeremden,53.343,6.71,3.0,2.3,manual
