time [yr], extraction rate [kg/s]
1995.7917,   8.0009
1995.8750,   7.7162
1995.9583,   7.9730
1996.0417,   7.9087
1996.1250,   7.8521
1996.2083,   7.7573
1996.2917,   8.4210
1996.3750,   8.1162
1996.4583,   8.2253
1996.5417,   8.5358
1996.6250,   8.5048
1996.7083,   8.2444
1996.7917,   8.6969
1996.8750,   8.3852
1996.9583,   8.5649
1997.0417,   8.6873
1997.1250,   8.3390
1997.2083,   8.6053
1997.2917,   8.7294
1997.3750,   8.7385
1997.4583,   8.7926
1997.5417,   8.6070
1997.6250,   8.8643
1997.7083,   8.7845
1997.7917,   8.2954
1997.8750,   8.5128
1997.9583,   8.0521
1998.0417,   8.4524
1998.1250,   8.0470
1998.2083,   8.1324
1998.2917,   7.9370
1998.3750,   7.8155
1998.4583,   8.2374
1998.5417,   7.7989
1998.6250,   7.8027
1998.7083,   7.6470
1998.7917,   7.3630
1998.8750,   7.4335
1998.9583,   7.4529
1999.0417,   7.7483
1999.1250,   7.6071
1999.2083,   7.6414
1999.2917,   7.5867
1999.3750,   7.9687
1999.4583,   7.6128
1999.5417,   8.3150
1999.6250,   7.9232
1999.7083,   8.3566
1999.7917,   8.0747
1999.8750,   8.4783
1999.9583,   8.1374
2000.0417,   8.1522
2000.1250,   8.2198
2000.2083,   7.7901
2000.2917,   8.0337
2000.3750,   7.7684
2000.4583,   8.1862
2000.5417,   8.4055
2000.6250,   8.3563
2000.7083,   8.9187
2000.7917,   8.4360
2000.8750,   9.0285
2000.9583,   8.7345
2001.0417,   8.5489
2001.1250,   8.8824
2001.2083,   8.9429
2001.2917,   9.3098
2001.3750,   8.8346
2001.4583,   8.8013
2001.5417,   9.4223
2001.6250,   9.2350
2001.7083,   9.1015
2001.7917,   9.1694
2001.8750,   9.4321
2001.9583,   9.5296
2002.0417,   9.3660
2002.1250,   9.9006
2002.2083,  10.0525
2002.2917,   9.7384
2002.3750,   9.3728
2002.4583,   9.4207
2002.5417,   8.8512
2002.6250,   9.7019
2002.7083,  10.2344
2002.7917,   9.9284
2002.8750,   9.8438
2002.9583,  10.1112
2003.0417,  10.2835
2003.1250,  10.8513
2003.2083,  10.5606
2003.2917,  10.1267
2003.3750,   9.8958
2003.4583,  10.1446
2003.5417,  10.6474
2003.6250,  10.3930
2003.7083,  10.0988
2003.7917,  10.1767
2003.8750,  10.3826
2003.9583,   9.8441
2004.0417,   9.6864
2004.1250,   9.6871
2004.2083,   9.2027
2004.2917,   9.2870
2004.3750,   9.1781
2004.4583,   9.5066
2004.5417,   9.7895
2004.6250,   9.5543
2004.7083,   9.9879
2004.7917,   9.8393
2004.8750,  10.0850
2004.9583,   9.7419
2005.0417,   9.8777
2005.1250,  10.4116
2005.2083,  10.1701
2005.2917,  10.1157
2005.3750,   9.9922
2005.4583,   9.7893
2005.5417,   9.9691
2005.6250,   9.3776
2005.7083,   9.6719
2005.7917,   9.8349
2005.8750,   9.0985
2005.9583,   8.6062
2006.0417,   9.0109
2006.1250,   8.6560
2006.2083,   8.8908
2006.2917,   8.8234
2006.3750,   9.0692
2006.4583,   9.0186
2006.5417,   9.1153
2006.6250,   8.6036
2006.7083,   9.2946
2006.7917,   8.8133
2006.8750,   8.7714
2006.9583,   8.8590
2007.0417,   8.0395
2007.1250,   8.5264
2007.2083,   8.6612
2007.2917,   8.5966
2007.3750,   8.5355
2007.4583,   8.9431
2007.5417,   8.9346
2007.6250,   8.7018
2007.7083,   8.9590
2007.7917,   8.8079
2007.8750,   8.4487
2007.9583,   8.7088
2008.0417,   8.4078
2008.1250,   8.4608
2008.2083,   8.3240
2008.2917,   8.2573
2008.3750,   7.9036
2008.4583,   8.4091
2008.5417,   7.8205
2008.6250,   7.6012
2008.7083,   7.5309
2008.7917,   7.3594
2008.8750,   7.7280
2008.9583,   7.6522
2009.0417,   7.7680
2009.1250,   7.6329
2009.2083,   7.9007
2009.2917,   7.9897
2009.3750,   7.7561
2009.4583,   7.6241
2009.5417,   7.7496
2009.6250,   7.3001
2009.7083,   7.2147
2009.7917,   6.8424
2009.8750,   6.9191
2009.9583,   6.6773
2010.0417,   6.5153
2010.1250,   6.5886
2010.2083,   6.0707
2010.2917,   6.2312
2010.3750,   6.0259
2010.4583,   5.7718
2010.5417,   5.8706
2010.6250,   5.5620
2010.7083,   5.2833
2010.7917,   5.3834
2010.8750,   5.2671
2010.9583,   5.1746
2011.0417,   5.2099
2011.1250,   5.3291
2011.2083,   5.1170
2011.2917,   5.1547
2011.3750,   5.0092
2011.4583,   5.2299
2011.5417,   5.2495
2011.6250,   5.2139
2011.7083,   5.1526
2011.7917,   4.8878
2011.8750,   5.1147
2011.9583,   5.3327
2012.0417,   5.4113
2012.1250,   5.8276
2012.2083,   5.6407
2012.2917,   5.9274
2012.3750,   6.1368
2012.4583,   6.0510
2012.5417,   6.0720
2012.6250,   6.2602
2012.7083,   6.5278
2012.7917,   6.2110
2012.8750,   6.3695
2012.9583,   6.1335
2013.0417,   6.3203
2013.1250,   6.1760
2013.2083,   6.4342
2013.2917,   6.4665
2013.3750,   6.4509
2013.4583,   6.2263
2013.5417,   6.3785
2013.6250,   6.0388
2013.7083,   5.9863
2013.7917,   5.8443
2013.8750,   5.7036
2013.9583,   5.4935
2014.0417,   5.7839
2014.1250,   5.8502
2014.2083,   5.6989
2014.2917,   5.5457
2014.3750,   5.3232
2014.4583,   5.2603
2014.5417,   5.3001
2014.6250,   5.2443
2014.7083,   5.0048
2014.7917,   5.1093
2014.8750,   5.0273
2014.9583,   5.0118
